,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
75,iss,25544,51.233558988694,22.257401334771,416.92395750388,27609.659181555,daylight,4491.780711664,1686648514,2460108.894838,23.205493518104,37.864822540481,kilometers
76,iss,25544,51.375141150502,23.726784565524,416.96173380313,27609.61993057,daylight,4491.9737129973,1686648529,2460108.8950116,23.205503331785,37.802331613854,kilometers
77,iss,25544,51.503978299409,25.303782742176,416.9981129793,27609.575959313,daylight,4492.1595668074,1686648545,2460108.8951968,23.205513799481,37.735674647832,kilometers
78,iss,25544,51.609688178386,26.889225159629,417.03040092112,27609.529886663,daylight,4492.3245114945,1686648561,2460108.8953819,23.205524266943,37.669017681825,kilometers
79,iss,25544,51.687614108642,28.381810455892,417.05691751164,27609.484840329,daylight,4492.4599674106,1686648576,2460108.8955556,23.20553407998,37.606526755261,kilometers
80,iss,25544,51.748000469254,29.978973511159,417.08116595128,27609.434863927,daylight,4492.5838324762,1686648592,2460108.8957407,23.205544547016,37.539869621698,kilometers
81,iss,25544,51.7832008847,31.47958027894,417.10009247238,27609.386242236,daylight,4492.6805094077,1686648607,2460108.8959144,23.205554359627,37.477378695169,kilometers
82,iss,25544,51.79784238023,33.082074545896,417.11620378216,27609.332524136,daylight,4492.7628042057,1686648623,2460108.8960995,23.205564826182,37.410721729249,kilometers
83,iss,25544,51.788813389599,34.684769209799,417.12809734054,27609.276914594,daylight,4492.8235540164,1686648639,2460108.8962847,23.205575292505,37.344064763368,kilometers
84,iss,25544,51.758865820163,36.185926540532,417.13541586649,27609.223075535,daylight,4492.8609350206,1686648654,2460108.8964583,23.205585104472,37.281573836902,kilometers
85,iss,25544,51.704063817751,37.784055505145,417.13914188361,27609.163832794,daylight,4492.879966339,1686648670,2460108.8966435,23.205595570341,37.214916871049,kilometers
86,iss,25544,51.625767732938,39.377305284611,417.13867096231,27609.102712063,daylight,4492.8775610272,1686648686,2460108.8968287,23.205606035976,37.148259905235,kilometers
87,iss,25544,51.531156588556,40.86505712534,417.13443877289,27609.043692728,daylight,4492.8559443189,1686648701,2460108.8970023,23.205615847299,37.085768978832,kilometers
88,iss,25544,51.407791955949,42.444133365695,417.12591123843,27608.978882552,daylight,4492.8123879387,1686648717,2460108.8971875,23.205626312481,37.019112013054,kilometers
89,iss,25544,51.271289860836,43.915783763975,417.11418905568,27608.916353439,daylight,4492.7525133049,1686648732,2460108.8973611,23.20563612338,36.956621086707,kilometers
90,iss,25544,51.103697781744,45.474804737954,417.09775473042,27608.847727239,daylight,4492.6685683265,1686648748,2460108.8975463,23.205646588135,36.889963953351,kilometers
91,iss,25544,50.913698068249,47.02133439572,417.07731791911,27608.777059365,daylight,4492.5641763648,1686648764,2460108.8977315,23.205657052629,36.823306987633,kilometers
92,iss,25544,50.715515177146,48.458668732101,417.05458016336,27608.708899092,daylight,4492.4480276269,1686648779,2460108.8979051,23.205666862884,36.760816061342,kilometers
93,iss,25544,50.483066251535,49.977259911678,417.0265779518,27608.634091402,daylight,4492.3049820348,1686648795,2460108.8980903,23.205677326926,36.694159095675,kilometers
94,iss,25544,50.24574431201,51.386272763492,416.9968807967,27608.561918004,daylight,4492.1532719902,1686648810,2460108.8982639,23.205687136755,36.631668169425,kilometers
95,iss,25544,49.972297303149,52.872563026833,416.96161177473,27608.482672156,daylight,4491.9730895633,1686648826,2460108.8984491,23.205697600343,36.565011203796,kilometers
96,iss,25544,49.697283467447,54.249503102509,416.92526185548,27608.406175341,daylight,4491.7873758413,1686648841,2460108.8986227,23.205707409748,36.502520277594,kilometers
97,iss,25544,49.384464065312,55.699860856682,416.88308114065,27608.322128364,daylight,4491.5718605516,1686648857,2460108.8988079,23.205717872884,36.435863312017,kilometers
98,iss,25544,49.052004823033,57.130497655924,416.8374900487,27608.23544095,daylight,4491.3389063579,1686648873,2460108.8989931,23.205728335784,36.369206346446,kilometers
99,iss,25544,48.722916787974,58.453216023904,416.79175454303,27608.151665564,daylight,4491.1051994856,1686648888,2460108.8991667,23.205738144545,36.306715420307,kilometers
100,iss,25544,48.35378964131,59.843841444768,416.73989347808,27608.059509512,daylight,4490.8401733061,1686648904,2460108.8993519,23.20574860702,36.240058287174,kilometers
101,iss,25544,47.991203292533,61.128127130143,416.68850293518,27607.970373813,daylight,4490.5775328634,1686648919,2460108.8995255,23.205758415356,36.177567361078,kilometers
102,iss,25544,47.587294811093,62.476949978291,416.63086038359,27607.872237163,daylight,4490.282918181,1686648935,2460108.8997106,23.205768877351,36.110910395602,kilometers
